category,unit,lesson,lesson_type,item_id,text,pinyin,target_file,recording_note
生字单字,1.春天与识字,1.春夏秋冬,识字,chunxiaqiudong-word-0,春,chūn,audio/words/chunxiaqiudong-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,1.春夏秋冬,识字,chunxiaqiudong-word-1,风,fēng,audio/words/chunxiaqiudong-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,1.春夏秋冬,识字,chunxiaqiudong-word-2,花,huā,audio/words/chunxiaqiudong-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,1.春夏秋冬,识字,chunxiaqiudong-word-3,雪,xuě,audio/words/chunxiaqiudong-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,1.春夏秋冬,识字,chunxiaqiudong-word-4,飞,fēi,audio/words/chunxiaqiudong-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,1.春夏秋冬,识字,chunxiaqiudong-word-5,入,rù,audio/words/chunxiaqiudong-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,1.春天与识字,1.春夏秋冬,识字,chunxiaqiudong-lesson,春风吹，花儿开。 雪花飞，鱼儿游。,,audio/lessons/chunxiaqiudong.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,1.春天与识字,1.春夏秋冬,识字,chunxiaqiudong-sentence,春风吹，花儿开。,,audio/sentences/chunxiaqiudong.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,1.春天与识字,2.姓氏歌,识字,xingshige-word-0,姓,xìng,audio/words/xingshige-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,2.姓氏歌,识字,xingshige-word-1,什,shén,audio/words/xingshige-1.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,2.姓氏歌,识字,xingshige-word-2,么,me,audio/words/xingshige-2.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,2.姓氏歌,识字,xingshige-word-3,双,shuāng,audio/words/xingshige-3.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,2.姓氏歌,识字,xingshige-word-4,国,guó,audio/words/xingshige-4.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
生字单字,1.春天与识字,2.姓氏歌,识字,xingshige-word-5,王,wáng,audio/words/xingshige-5.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
课文朗读,1.春天与识字,2.姓氏歌,识字,xingshige-lesson,你姓什么？我姓王。 中国姓氏真有趣。,,audio/lessons/xingshige.mp3,按一年级学生听感慢速朗读，语气自然亲切，句间停顿明显。
句子练习,1.春天与识字,2.姓氏歌,识字,xingshige-sentence,你姓什么？我姓王。,,audio/sentences/xingshige.mp3,完整句子朗读一遍，可作为后续句子补空和跟读素材。
生字单字,1.春天与识字,3.小青蛙,儿歌,xiaoqingwa-word-0,青,qīng,audio/words/xiaoqingwa-0.mp3,单字清晰读一遍，发音后留 0.2 秒空白，不要读解释。
